zaman,sembol,fiyat,degisim,karar,guven,rsi,hedef,stop
28.03.2026 00:13:24,AKBNK.IS,66.9,-0.5204460966542667,AL,0.4167371834695452,37.79293831782238,75.7333512634116,61.59998924195304
28.03.2026 00:13:24,GARAN.IS,126.5,-0.1578507916806719,SAT,0.7120472063746713,37.87071427189675,112.10749259285842,135.13550444428495
28.03.2026 00:13:25,YKBNK.IS,33.18,-9.197582240124708e-07,SAT,0.446733310058405,38.08790338905449,29.21836355600118,35.55698186639929
28.03.2026 00:13:25,EKGYO.IS,19.27,-2.725893389703304,SAT,0.5363809464703809,36.55891784610648,17.022201708059352,20.61867897516439
28.03.2026 00:13:25,PGSUS.IS,177.0,-0.3378412628915713,AL,0.5834288310348213,41.654750066500085,192.3921535665633,167.764707860062
28.03.2026 00:13:25,TCELL.IS,106.4,0.3773584905660431,SAT,0.4906171309635862,42.56826611007235,96.01450230383574,112.63129861769856
28.03.2026 00:13:25,SISE.IS,44.88,-0.9708731195655028,SAT,0.663192568035296,67.71265952538714,40.01619385871707,47.79828368476976
28.03.2026 00:13:25,FROTO.IS,103.8,1.0710838212703933,SAT,0.5048696960093667,49.852722393102965,93.03336840919673,110.25997895448197
28.03.2026 00:18:26,AKBNK.IS,66.9,-0.5204460966542667,AL,0.41673718346954525,37.79293831782238,75.7333512634116,61.59998924195304
28.03.2026 00:18:26,GARAN.IS,126.5,-0.15785079168067195,SAT,0.7120472063746713,37.87071427189675,112.10749259285842,135.13550444428495
28.03.2026 00:18:26,YKBNK.IS,33.18,-9.197582240124707e-07,SAT,0.44673331005840505,38.08790338905449,29.21836355600118,35.55698186639929
28.03.2026 00:18:27,EKGYO.IS,19.27,-2.725893389703304,SAT,0.5363809464703809,36.558917846106475,17.022201708059352,20.61867897516439
28.03.2026 00:18:27,PGSUS.IS,177.0,-0.33784126289157135,AL,0.5834288310348213,41.654750066500085,192.3921535665633,167.764707860062
28.03.2026 00:18:27,TCELL.IS,106.4,0.3773584905660431,SAT,0.4906171309635862,42.56826611007235,96.01450230383574,112.63129861769856
28.03.2026 00:18:27,SISE.IS,44.88,-0.9708731195655027,SAT,0.663192568035296,67.71265952538714,40.01619385871707,47.798283684769764
28.03.2026 00:18:28,FROTO.IS,103.8,1.0710838212703933,SAT,0.5048696960093667,49.852722393102965,93.03336840919673,110.25997895448197
