zaman,sembol,fiyat,karar,guven,rsi,fiyat_giris,hedef,stop,ml_karar,lstm_karar,lstm_onay,fiyat_cikis,kar_zarar,sonuc
28.03.2026 14:42,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 14:42,TCELL.IS,106.4,BEKLE,0.499,39.1,,,,,,,,,
28.03.2026 14:42,SISE.IS,44.88,BEKLE,0.48,62.1,,,,,,,,,
28.03.2026 14:42,FROTO.IS,103.8,BEKLE,0.41,42.4,,,,,,,,,
28.03.2026 14:45,AKBNK.IS,66.9,BEKLE,0.411,33.9,,,,,,,,,
28.03.2026 14:45,GARAN.IS,126.5,BEKLE,0.485,34.0,,,,,,,,,
28.03.2026 14:45,YKBNK.IS,33.18,BEKLE,0.457,33.8,,,,,,,,,
28.03.2026 14:45,EKGYO.IS,19.27,BEKLE,0.458,32.4,,,,,,,,,
28.03.2026 14:45,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 14:45,TCELL.IS,106.4,BEKLE,0.495,39.1,,,,,,,,,
28.03.2026 14:45,SISE.IS,44.88,BEKLE,0.48,62.1,,,,,,,,,
28.03.2026 14:45,FROTO.IS,103.8,BEKLE,0.41,42.4,,,,,,,,,
28.03.2026 14:50,AKBNK.IS,66.9,BEKLE,0.411,33.9,,,,,,,,,
28.03.2026 14:50,GARAN.IS,126.5,BEKLE,0.485,34.0,,,,,,,,,
28.03.2026 14:50,YKBNK.IS,33.18,BEKLE,0.457,33.8,,,,,,,,,
28.03.2026 14:50,EKGYO.IS,19.27,BEKLE,0.458,32.4,,,,,,,,,
28.03.2026 14:50,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 14:50,TCELL.IS,106.4,BEKLE,0.495,39.1,,,,,,,,,
28.03.2026 14:50,SISE.IS,44.88,BEKLE,0.48,62.1,,,,,,,,,
28.03.2026 14:50,FROTO.IS,103.8,BEKLE,0.41,42.4,,,,,,,,,
28.03.2026 14:55,AKBNK.IS,66.9,BEKLE,0.411,33.9,,,,,,,,,
28.03.2026 14:55,GARAN.IS,126.5,BEKLE,0.485,34.0,,,,,,,,,
28.03.2026 14:55,YKBNK.IS,33.18,BEKLE,0.457,33.8,,,,,,,,,
28.03.2026 14:55,EKGYO.IS,19.27,BEKLE,0.458,32.4,,,,,,,,,
28.03.2026 14:55,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 14:55,TCELL.IS,106.4,BEKLE,0.495,39.1,,,,,,,,,
28.03.2026 14:55,SISE.IS,44.88,BEKLE,0.48,62.1,,,,,,,,,
28.03.2026 14:55,FROTO.IS,103.8,BEKLE,0.41,42.4,,,,,,,,,
28.03.2026 14:59,AKBNK.IS,66.9,BEKLE,0.421,33.9,,,,,,,,,
28.03.2026 14:59,GARAN.IS,126.5,BEKLE,0.487,34.0,,,,,,,,,
28.03.2026 14:59,YKBNK.IS,33.18,BEKLE,0.478,33.8,,,,,,,,,
28.03.2026 14:59,EKGYO.IS,19.27,BEKLE,0.468,32.4,,,,,,,,,
28.03.2026 14:59,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 14:59,TCELL.IS,106.4,BEKLE,0.514,39.1,,,,,,,,,
28.03.2026 14:59,SISE.IS,44.88,BEKLE,0.455,62.1,,,,,,,,,
28.03.2026 14:59,FROTO.IS,103.8,BEKLE,0.413,42.4,,,,,,,,,
28.03.2026 15:02,AKBNK.IS,66.9,BEKLE,0.43,33.9,,,,,,,,,
28.03.2026 15:02,GARAN.IS,126.5,BEKLE,0.503,34.0,,,,,,,,,
28.03.2026 15:02,YKBNK.IS,33.18,BEKLE,0.445,33.8,,,,,,,,,
28.03.2026 15:02,EKGYO.IS,19.27,BEKLE,0.458,32.4,,,,,,,,,
28.03.2026 15:02,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 15:02,TCELL.IS,106.4,BEKLE,0.518,39.1,,,,,,,,,
28.03.2026 15:02,SISE.IS,44.88,BEKLE,0.48,62.1,,,,,,,,,
28.03.2026 15:02,FROTO.IS,103.8,BEKLE,0.426,42.4,,,,,,,,,
28.03.2026 15:08,AKBNK.IS,66.9,BEKLE,0.426,33.9,,,,,,,,,
28.03.2026 15:08,GARAN.IS,126.5,BEKLE,0.442,34.0,,,,,,,,,
28.03.2026 15:08,YKBNK.IS,33.18,BEKLE,0.445,33.8,,,,,,,,,
28.03.2026 15:08,EKGYO.IS,19.27,BEKLE,0.468,32.4,,,,,,,,,
28.03.2026 15:08,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 15:08,TCELL.IS,106.4,BEKLE,0.515,39.1,,,,,,,,,
28.03.2026 15:08,SISE.IS,44.88,BEKLE,0.475,62.1,,,,,,,,,
28.03.2026 15:08,FROTO.IS,103.8,BEKLE,0.41,42.4,,,,,,,,,
28.03.2026 15:11,AKBNK.IS,66.9,BEKLE,0.414,33.9,,,,,,,,,
28.03.2026 15:11,GARAN.IS,126.5,BEKLE,0.449,34.0,,,,,,,,,
28.03.2026 15:11,YKBNK.IS,33.18,BEKLE,0.466,33.8,,,,,,,,,
28.03.2026 15:11,EKGYO.IS,19.27,BEKLE,0.458,32.4,,,,,,,,,
28.03.2026 15:11,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 15:11,TCELL.IS,106.4,BEKLE,0.501,39.1,,,,,,,,,
28.03.2026 15:11,SISE.IS,44.88,BEKLE,0.475,62.1,,,,,,,,,
28.03.2026 15:11,FROTO.IS,103.8,BEKLE,0.413,42.4,,,,,,,,,
28.03.2026 15:17,AKBNK.IS,66.9,BEKLE,0.433,33.9,,,,,,,,,
28.03.2026 15:17,GARAN.IS,126.5,BEKLE,0.498,34.0,,,,,,,,,
28.03.2026 15:17,YKBNK.IS,33.18,BEKLE,0.451,33.8,,,,,,,,,
28.03.2026 15:17,EKGYO.IS,19.27,BEKLE,0.468,32.4,,,,,,,,,
28.03.2026 15:17,PGSUS.IS,177.0,BEKLE,0.441,39.0,,,,,,,,,
28.03.2026 15:17,TCELL.IS,106.4,BEKLE,0.51,39.1,,,,,,,,,
28.03.2026 15:17,SISE.IS,44.88,BEKLE,0.475,62.1,,,,,,,,,
28.03.2026 15:17,FROTO.IS,103.8,BEKLE,0.411,42.4,,,,,,,,,
06.04.2026 16:29,AKBNK.IS,70.7,AL,0.388,39.1,,,,,,,,,
06.04.2026 16:29,GARAN.IS,135.3,SAT,0.582,37.0,,,,,,,,,
06.04.2026 16:29,YKBNK.IS,35.22,SAT,0.554,42.4,,,,,,,,,
06.04.2026 16:29,EKGYO.IS,19.8,AL,0.465,38.9,,,,,,,,,
06.04.2026 16:29,PGSUS.IS,178.7,AL,0.434,43.6,,,,,,,,,
06.04.2026 16:29,TCELL.IS,108.5,SAT,0.434,44.2,,,,,,,,,
06.04.2026 16:29,SISE.IS,45.06,SAT,0.419,51.2,,,,,,,,,
06.04.2026 16:29,FROTO.IS,100.5,SAT,0.474,42.7,,,,,,,,,
07.04.2026 02:34,YKBNK.IS,,SAT,0.659,35.3,35.14,,,SAT,AL,False,,,
07.04.2026 02:34,PGSUS.IS,,AL,0.664,36.6,178.4,191.3,170.66,AL,AL,True,,,
07.04.2026 02:34,EKGYO.IS,,AL,0.66,33.2,19.87,21.95,18.62,AL,AL,True,,,
07.04.2026 02:34,TUPRS.IS,,AL,0.573,63.3,256.5,284.79,239.53,AL,—,False,,,
07.04.2026 02:34,ASELS.IS,,AL,0.705,46.9,337.0,371.94,316.03,AL,—,False,,,
07.04.2026 02:34,AKBNK.IS,,BEKLE,0.411,32.2,70.3,,,BEKLE,AL,False,,,
07.04.2026 02:34,GARAN.IS,,BEKLE,0.419,32.5,135.6,,,BEKLE,BEKLE,False,,,
07.04.2026 02:34,TCELL.IS,,BEKLE,0.476,41.0,108.6,,,BEKLE,—,False,,,
07.04.2026 02:34,SISE.IS,,BEKLE,0.507,48.9,44.8,,,BEKLE,—,False,,,
07.04.2026 02:34,FROTO.IS,,BEKLE,0.472,39.7,100.4,,,BEKLE,—,False,,,
07.04.2026 02:34,EREGL.IS,,BEKLE,0.59,48.2,30.06,,,BEKLE,—,False,,,
07.04.2026 02:34,THYAO.IS,,BEKLE,0.49,48.2,297.25,,,BEKLE,AL,False,,,
07.04.2026 03:01,AKBNK.IS,70.3,BEKLE,0.461,32.2
07.04.2026 03:01,GARAN.IS,135.6,BEKLE,0.381,32.5
07.04.2026 03:01,YKBNK.IS,35.14,BEKLE,0.479,35.3
07.04.2026 03:01,EKGYO.IS,19.87,AL,0.55,33.2
07.04.2026 03:01,PGSUS.IS,178.4,BEKLE,0.435,36.6
07.04.2026 03:01,TCELL.IS,108.6,BEKLE,0.452,41.0
07.04.2026 03:01,SISE.IS,44.8,BEKLE,0.424,48.9
07.04.2026 03:01,FROTO.IS,100.4,SAT,0.544,39.7
07.04.2026 03:06,AKBNK.IS,70.3,BEKLE,0.461,32.2
07.04.2026 03:06,GARAN.IS,135.6,BEKLE,0.381,32.5
07.04.2026 03:06,YKBNK.IS,35.14,BEKLE,0.479,35.3
07.04.2026 03:06,EKGYO.IS,19.87,AL,0.55,33.2
07.04.2026 03:06,PGSUS.IS,178.4,BEKLE,0.435,36.6
07.04.2026 03:06,TCELL.IS,108.6,BEKLE,0.452,41.0
07.04.2026 03:06,SISE.IS,44.8,BEKLE,0.424,48.9
07.04.2026 03:06,FROTO.IS,100.4,SAT,0.544,39.7
07.04.2026 03:11,AKBNK.IS,70.3,BEKLE,0.461,32.2
07.04.2026 03:11,GARAN.IS,135.6,BEKLE,0.381,32.5
07.04.2026 03:11,YKBNK.IS,35.14,BEKLE,0.479,35.3
07.04.2026 03:11,EKGYO.IS,19.87,AL,0.55,33.2
07.04.2026 03:11,PGSUS.IS,178.4,BEKLE,0.435,36.6
07.04.2026 03:11,TCELL.IS,108.6,BEKLE,0.452,41.0
07.04.2026 03:11,SISE.IS,44.8,BEKLE,0.424,48.9
07.04.2026 03:11,FROTO.IS,100.4,SAT,0.544,39.7
07.04.2026 03:16,AKBNK.IS,70.3,BEKLE,0.461,32.2
07.04.2026 03:16,GARAN.IS,135.6,BEKLE,0.381,32.5
07.04.2026 03:16,YKBNK.IS,35.14,BEKLE,0.479,35.3
07.04.2026 03:16,EKGYO.IS,19.87,AL,0.55,33.2
07.04.2026 03:16,PGSUS.IS,178.4,BEKLE,0.435,36.6
07.04.2026 03:16,TCELL.IS,108.6,BEKLE,0.452,41.0
07.04.2026 03:16,SISE.IS,44.8,BEKLE,0.424,48.9
07.04.2026 03:16,FROTO.IS,100.4,SAT,0.544,39.7
07.04.2026 03:21,AKBNK.IS,70.3,BEKLE,0.461,32.2
07.04.2026 03:21,GARAN.IS,135.6,BEKLE,0.381,32.5
07.04.2026 03:21,YKBNK.IS,35.14,BEKLE,0.479,35.3
07.04.2026 03:21,EKGYO.IS,19.87,AL,0.55,33.2
07.04.2026 03:21,PGSUS.IS,178.4,BEKLE,0.435,36.6
07.04.2026 03:21,TCELL.IS,108.6,BEKLE,0.452,41.0
07.04.2026 03:21,SISE.IS,44.8,BEKLE,0.424,48.9
07.04.2026 03:21,FROTO.IS,100.4,SAT,0.544,39.7
07.04.2026 03:26,AKBNK.IS,70.3,BEKLE,0.461,32.2
07.04.2026 03:26,GARAN.IS,135.6,BEKLE,0.381,32.5
07.04.2026 03:26,YKBNK.IS,35.14,BEKLE,0.479,35.3
07.04.2026 03:26,EKGYO.IS,19.87,AL,0.55,33.2
07.04.2026 03:26,PGSUS.IS,178.4,BEKLE,0.435,36.6
07.04.2026 03:26,TCELL.IS,108.6,BEKLE,0.452,41.0
07.04.2026 03:26,SISE.IS,44.8,BEKLE,0.424,48.9
07.04.2026 03:26,FROTO.IS,100.4,SAT,0.544,39.7
07.04.2026 03:31,AKBNK.IS,70.3,BEKLE,0.461,32.2
07.04.2026 03:31,GARAN.IS,135.6,BEKLE,0.381,32.5
07.04.2026 03:31,YKBNK.IS,35.14,BEKLE,0.479,35.3
07.04.2026 03:31,EKGYO.IS,19.87,AL,0.55,33.2
07.04.2026 03:31,PGSUS.IS,178.4,BEKLE,0.435,36.6
07.04.2026 03:31,TCELL.IS,108.6,BEKLE,0.452,41.0
07.04.2026 03:31,SISE.IS,44.8,BEKLE,0.424,48.9
07.04.2026 03:31,FROTO.IS,100.4,SAT,0.544,39.7
07.04.2026 03:36,AKBNK.IS,70.3,BEKLE,0.461,32.2
07.04.2026 03:36,GARAN.IS,135.6,BEKLE,0.381,32.5
07.04.2026 03:36,YKBNK.IS,35.14,BEKLE,0.479,35.3
07.04.2026 03:36,EKGYO.IS,19.87,AL,0.55,33.2
07.04.2026 03:36,PGSUS.IS,178.4,BEKLE,0.435,36.6
07.04.2026 03:36,TCELL.IS,108.6,BEKLE,0.452,41.0
07.04.2026 03:36,SISE.IS,44.8,BEKLE,0.424,48.9
07.04.2026 03:36,FROTO.IS,100.4,SAT,0.544,39.7
07.04.2026 03:41,AKBNK.IS,70.3,BEKLE,0.461,32.2
07.04.2026 03:41,GARAN.IS,135.6,BEKLE,0.381,32.5
07.04.2026 03:41,YKBNK.IS,35.14,BEKLE,0.479,35.3
07.04.2026 03:41,EKGYO.IS,19.87,AL,0.55,33.2
07.04.2026 03:41,PGSUS.IS,178.4,BEKLE,0.435,36.6
07.04.2026 03:41,TCELL.IS,108.6,BEKLE,0.452,41.0
07.04.2026 03:41,SISE.IS,44.8,BEKLE,0.424,48.9
07.04.2026 03:41,FROTO.IS,100.4,SAT,0.544,39.7
07.04.2026 03:46,AKBNK.IS,70.3,BEKLE,0.461,32.2
07.04.2026 03:46,GARAN.IS,135.6,BEKLE,0.381,32.5
07.04.2026 03:46,YKBNK.IS,35.14,BEKLE,0.479,35.3
07.04.2026 03:46,EKGYO.IS,19.87,AL,0.55,33.2
07.04.2026 03:46,PGSUS.IS,178.4,BEKLE,0.435,36.6
07.04.2026 03:46,TCELL.IS,108.6,BEKLE,0.452,41.0
07.04.2026 03:46,SISE.IS,44.8,BEKLE,0.424,48.9
07.04.2026 03:46,FROTO.IS,100.4,SAT,0.544,39.7
07.04.2026 03:51,AKBNK.IS,70.3,BEKLE,0.461,32.2
07.04.2026 03:51,GARAN.IS,135.6,BEKLE,0.381,32.5
07.04.2026 03:51,YKBNK.IS,35.14,BEKLE,0.479,35.3
07.04.2026 03:51,EKGYO.IS,19.87,AL,0.55,33.2
07.04.2026 03:51,PGSUS.IS,178.4,BEKLE,0.435,36.6
07.04.2026 03:51,TCELL.IS,108.6,BEKLE,0.452,41.0
07.04.2026 03:51,SISE.IS,44.8,BEKLE,0.424,48.9
07.04.2026 03:51,FROTO.IS,100.4,SAT,0.544,39.7
07.04.2026 13:52,AKBNK.IS,69.95,BEKLE,0.353,41.9
07.04.2026 13:52,GARAN.IS,129.9,SAT,0.481,41.6
07.04.2026 13:52,YKBNK.IS,34.96,SAT,0.536,44.3
07.04.2026 13:52,EKGYO.IS,19.65,AL,0.505,38.0
07.04.2026 13:52,PGSUS.IS,177.7,BEKLE,0.395,43.0
07.04.2026 13:52,TCELL.IS,107.5,SAT,0.367,43.6
07.04.2026 13:52,SISE.IS,45.08,SAT,0.534,51.4
07.04.2026 13:52,FROTO.IS,98.8,SAT,0.453,39.9
07.04.2026 13:57,AKBNK.IS,69.9,AL,0.362,41.9
07.04.2026 13:57,GARAN.IS,129.8,SAT,0.493,41.6
07.04.2026 13:57,YKBNK.IS,34.94,SAT,0.536,44.3
07.04.2026 13:57,EKGYO.IS,19.66,AL,0.523,38.0
07.04.2026 13:57,PGSUS.IS,177.8,BEKLE,0.395,43.0
07.04.2026 13:57,TCELL.IS,107.2,SAT,0.359,43.6
07.04.2026 13:57,SISE.IS,44.94,SAT,0.555,51.4
07.04.2026 13:57,FROTO.IS,98.75,SAT,0.445,39.9
07.04.2026 14:02,AKBNK.IS,69.7,AL,0.362,41.9
07.04.2026 14:02,GARAN.IS,129.5,SAT,0.493,41.6
07.04.2026 14:02,YKBNK.IS,34.86,SAT,0.536,44.3
07.04.2026 14:02,EKGYO.IS,19.63,AL,0.523,38.0
07.04.2026 14:02,PGSUS.IS,177.8,BEKLE,0.395,43.0
07.04.2026 14:02,TCELL.IS,107.0,SAT,0.359,43.6
07.04.2026 14:02,SISE.IS,44.86,SAT,0.555,51.4
07.04.2026 14:02,FROTO.IS,98.75,SAT,0.445,39.9
07.04.2026 14:07,AKBNK.IS,69.75,AL,0.362,41.9
07.04.2026 14:07,GARAN.IS,129.5,SAT,0.493,41.6
07.04.2026 14:07,YKBNK.IS,34.84,SAT,0.536,44.3
07.04.2026 14:07,EKGYO.IS,19.62,AL,0.523,38.0
07.04.2026 14:07,PGSUS.IS,177.6,BEKLE,0.395,43.0
07.04.2026 14:07,TCELL.IS,106.9,SAT,0.359,43.6
07.04.2026 14:07,SISE.IS,44.9,SAT,0.555,51.4
07.04.2026 14:07,FROTO.IS,98.4,SAT,0.445,39.9
07.04.2026 18:40,AKBNK.IS,69.25,BEKLE,0.359,41.9
07.04.2026 18:40,GARAN.IS,127.1,SAT,0.477,41.6
07.04.2026 18:40,YKBNK.IS,34.34,SAT,0.534,44.3
07.04.2026 18:40,EKGYO.IS,19.27,AL,0.505,38.0
07.04.2026 18:40,PGSUS.IS,175.0,BEKLE,0.395,43.0
07.04.2026 18:40,TCELL.IS,104.9,BEKLE,0.378,43.6
07.04.2026 18:40,SISE.IS,43.8,SAT,0.548,51.4
07.04.2026 18:40,FROTO.IS,96.7,SAT,0.445,39.9
07.04.2026 18:45,AKBNK.IS,69.25,BEKLE,0.359,41.9
07.04.2026 18:45,GARAN.IS,127.1,SAT,0.477,41.6
07.04.2026 18:45,YKBNK.IS,34.34,SAT,0.534,44.3
07.04.2026 18:45,EKGYO.IS,19.27,AL,0.505,38.0
07.04.2026 18:45,PGSUS.IS,175.0,BEKLE,0.395,43.0
07.04.2026 18:45,TCELL.IS,104.9,BEKLE,0.378,43.6
07.04.2026 18:45,SISE.IS,43.8,SAT,0.548,51.4
07.04.2026 18:45,FROTO.IS,96.7,SAT,0.445,39.9
07.04.2026 18:50,AKBNK.IS,69.25,BEKLE,0.359,41.9
07.04.2026 18:50,GARAN.IS,127.1,SAT,0.477,41.6
07.04.2026 18:50,YKBNK.IS,34.34,SAT,0.534,44.3
07.04.2026 18:50,EKGYO.IS,19.27,AL,0.505,38.0
07.04.2026 18:50,PGSUS.IS,175.0,BEKLE,0.395,43.0
07.04.2026 18:50,TCELL.IS,104.9,BEKLE,0.378,43.6
07.04.2026 18:50,SISE.IS,43.8,SAT,0.548,51.4
07.04.2026 18:50,FROTO.IS,96.7,SAT,0.445,39.9
08.04.2026 17:29,AKBNK.IS,76.15,AL,0.404,40.9
08.04.2026 17:29,GARAN.IS,139.3,SAT,0.566,43.2
08.04.2026 17:29,YKBNK.IS,37.76,SAT,0.421,43.5
08.04.2026 17:29,EKGYO.IS,20.8,AL,0.596,37.4
08.04.2026 17:29,PGSUS.IS,189.2,BEKLE,0.432,40.0
